timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1492741872577,1593,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 5-1,text,false,,2690,0,1,13,0,0,79
1492741872575,1601,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 8-1,text,false,,2690,0,1,13,0,0,81
1492741872577,1599,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 7-1,text,false,,2690,0,1,13,0,0,83
1492741872589,1586,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 13-1,text,false,,2690,0,1,13,0,0,68
1492741872585,1590,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 10-1,text,false,,2690,0,1,13,0,0,75
1492741872577,1597,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 4-1,text,false,,2690,0,1,13,0,0,80
1492741872591,1583,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1,text,false,,2690,0,1,13,0,0,66
1492741872577,1594,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 6-1,text,false,,2690,0,1,13,0,0,80
1492741872578,1595,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 2-1,text,false,,2690,0,1,13,0,0,79
1492741872577,1595,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 3-1,text,false,,2690,0,1,13,0,0,80
1492741872577,1595,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 12-1,text,false,,2690,0,1,13,0,0,80
1492741872577,1594,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 11-1,text,false,,2690,0,1,13,0,0,80
1492741872586,1583,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 9-1,text,false,,2690,0,1,13,0,0,70
1492741874186,649,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,649,0,3
1492741874836,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,11,0,2
1492741874848,8,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,8,0,1
1492741874858,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,6,0,1
1492741874864,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,6,0,1
1492741874870,9,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,9,0,1
1492741874879,9,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,9,0,1
1492741874888,32,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,32,0,1
1492741874921,11,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,11,0,1
1492741874932,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,12,0,3
1492741874944,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,12,0,1
1492741874957,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,19,0,0
1492741874976,12,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,12,0,1
1492741874988,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,378,207,1,13,20,0,1
